Unnamed: 0	command	Description	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
5880	du -BT	How do I check the individual disk usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Terabytes?					
5881	du -BT	Displays the memory occupied by the folders and sub-folders in /media/user/ in terms of Terabytes by ignoring the folders of different filesystem.					
5882	du -BT	How do I view the memory occupied by the folder and the sub-folder in /media/user/ in terms of Terabytes and ignore the folders mounted from a different filesystem?					
5883	du -BT	View the memory occupied by the folder and the sub-folder in /media/user/ in terms of Terabytes. Ignore the folders which are of a different filesystem.					
5884	du -BT	How do I show the memory occupied by the folders and sub-folders in /media/user/ in terms of Terabytes by ignoring the folders which are of a different filesystem?					
5885	du -BT	Displays the total file size of all the files in /home/user/ in terms of Terabytes.					
5886	du -BT	How do I view the total file size of all the files in /home/user/ in terms of Terabytes?					
5887	du -BT	View the total file size of all the files in /home/user/ in terms of Terabytes.					
5888	du -BT	How do I show the total file size of all the files in /home/user/ in terms of Terabytes?					
5889	du -BP	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes in Human Readable Format.					
5890	du -BP	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes in Human Readable Format?					
5891	du -BP	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes in Human Readable Format.					
5892	du -BP	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes in Human Readable Format?					
5893	du -BP	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes in powers of 1000.					
5894	du -BP	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes in powers of 1000?					
5895	du -BP	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes in powers of 1000.					
5896	du -BP	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes in powers of 1000?					
5897	du -BP	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes by ignoring the folders having size less than 10K.					
5898	du -BP	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes and ignore the folders having size less than 10K?					
5899	du -BP	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes. Ignore the folders which have size less than 10K.					
5900	du -BP	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes by ignoring the folders which have size less than 10K?					
5901	du -BP	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Petabytes.					
5902	du -BP	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Petabytes.					
5903	du -BP	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Petabytes?					
5904	du -BP	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Petabytes?					
5905	du -BP	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Petabytes.					
5906	du -BP	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Petabytes.					
5907	du -BP	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Petabytes?					
5908	du -BP	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Petabytes?					
5909	du -BP	Display memory usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Petabytes.					
5910	du -BP	Check the individual disk usage and last modified date of each of the files in the folders and sub-folders in /home/user/ in terms of Petabytes.					
5911	du -BP	How do I show the memory usage and last modified date of each of thefiles in the folder and sub-folder in /home/user/ in terms of Petabytes?					
5912	du -BP	How do I check the individual disk usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Petabytes?					
5913	du -BP	Displays the memory occupied by the folders and sub-folders in /media/user/ in terms of Petabytes by ignoring the folders of different filesystem.					
5914	du -BP	How do I view the memory occupied by the folder and the sub-folder in /media/user/ in terms of Petabytes and ignore the folders mounted from a different filesystem?					
5915	du -BP	View the memory occupied by the folder and the sub-folder in /media/user/ in terms of Petabytes. Ignore the folders which are of a different filesystem.					
5916	du -BP	How do I show the memory occupied by the folders and sub-folders in /media/user/ in terms of Petabytes by ignoring the folders which are of a different filesystem?					
5917	du -BP	Displays the total file size of all the files in /home/user/ in terms of Petabytes.					
5918	du -BP	How do I view the total file size of all the files in /home/user/ in terms of Petabytes?					
5919	du -BP	View the total file size of all the files in /home/user/ in terms of Petabytes.					
5920	du -BP	How do I show the total file size of all the files in /home/user/ in terms of Petabytes?					
5921	du -BY	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Yottabytes in Human Readable Format.					
5922	du -BY	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Yottabytes in Human Readable Format?					
5923	du -BY	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Yottabytes in Human Readable Format.					
