command,Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
uniq -D,How to filter out only repeated lines from the file sides.txt? Print each line as many times as it occurs in the file and ignore first 7 characters or the case when comparing the lines.,,,,,
uniq -D,Single command to see only repeated lines in the file sides.txt as many times as they occur in the file while avoiding first 7 characters and the case when comparing lines.,,,,,
uniq -D,Print only the lines that have multiple consecutive occurences in the file developer.txt as many times as they occur in the file. Consider only the first 7 characters of each line and ignore the case when comparing them.,,,,,
uniq -D,Consider first 7 characters and ignore the case while comparing lines and display only repeated lines from the file developer.txt as many times as they repeat.,,,,,
uniq -D,How to filter out only repeated lines from the file developer.txt? Print each line as many times as it occurs in the file. Only consider first 7 characters and ignore the case when comparing the lines.,,,,,
uniq -D,Single command to see only repeated lines in the file developer.txt as many times as they occur in the file while taking only first 7 characters into account and ignoring the case when comparing lines.,,,,,
uniq -u,In summer.txt show only those lines that do not have multiple consecutive occurences. Ignore first 3 fields and the case when comparing lines.,,,,,
uniq -u,Ignore first 3 fields and the case when comparing lines and filter out the ones that appear only once in summer.txt.,,,,,
uniq -u,What all lines have only one instance in summer.txt irrespective of first 3 fields or the case?,,,,,
uniq -u,From tutorial.txt, show only non-repeating lines. Don't consider the first 8 characters of each line or the case when comparing them.,,,,
uniq -u,Don't consider the first 8 characters and the case while comparing lines and display only non-repeating lines from the file tutorial.txt on the command line.,,,,,
uniq -u,How to see non-repeating lines from tutorial.txt? Ignore first 8 characters as well as the case when comparing the lines?0,,,,,
uniq -u,Single command to see only non-repeating lines from tutorial.txt while avoiding first 8 characters and the case when comparing lines.,,,,,
uniq -u,From tutorial.txt, show only non-repeating lines. Consider only the first 8 characters of each line and ignore the case when comparing them.,,,,
uniq -u,Consider first 8 characters while comparing lines, ignore the case and display only non-repeating lines from the file tutorial.txt on the command line.,,,,
uniq -u,How to see non-repeating lines from tutorial.txt? Only consider first 8 characters and ignore the case when comparing the lines?,,,,,
uniq -u,Single command to see only non-repeating lines from tutorial.txt while taking first 8 characters into account and ignoring case when comparing lines.,,,,,
uniq -c,From tutorial.txt, only show lines that have multiple consecutive occurences. Don't consider the first 5 fields of each line or the case when comparing them. Prefix each line with the number of times it consecutively repeats in the file.,,,,
uniq -c,Don't consider the first 5 fields and the case while comparing lines and display only consecutively repeating lines from the file tutorial.txt on the command line along with it's number of occurences.,,,,,
uniq -c,How to see repeating lines from tutorial.txt? Ignore first 5 fields or the case when comparing the lines and the number of times each line repeats consecutively in the file?,,,,,
uniq -c,Single command to see only the lines from tutorial.txt that have multiple consecutive occurences while avoiding first 5 fields or the case when comparing lines. The output should also include the number of times each line repeats consecutively in the file.,,,,,
uniq -c,From tutorial.txt, only show lines that have multiple consecutive occurences. Don't consider the first 8 characters of each line or the case when comparing them. Prefix each line with the number of times it consecutively repeats in the file.,,,,
uniq -c,Don't consider the first 8 characters and the case while comparing lines and display only consecutively repeating lines from the file tutorial.txt on the command line along with it's number of occurences.,,,,,
uniq -c,How to see  continuous repeating lines from tutorial.txt? Ignore first 8 characters and the case when comparing the lines and the number of times each line repeats consecutively in the file.,,,,,
uniq -c,Single command to see only the lines from tutorial.txt that have multiple consecutive occurences while avoiding first 8 characters and the case when comparing lines. The output should also include the number of times each line repeats consecutively in the file.,,,,,
uniq -c,Show tutorial.txt with lines that repeat consecutively multiple times. Consider only the first 8 characters of each line and ignore the case when comparing them. The output should also include the number of times each line repeats consecutively in the file.,,,,,
uniq -c,Consider first 8 characters and ignore the case while comparing lines and display only continuous repeating lines from the file tutorial.txt on the command line along with it's number of occurences in the file.,,,,,
uniq -c,How to see lines from tutorial.txt that have multiple consecutive occurences? Only consider first 8 characters and ignore the case when comparing the lines and the number of times each line repeats consecutively in the file.,,,,,
uniq -c,Single command to see only consecutively repeating lines from tutorial.txt while taking first 8 characters into account and ignoring the case when comparing lines. Prefix each line with the number of times it consecutively repeats in the file.,,,,,
diff -u,How do I find the difference between file1.txt and file2.txt? Print all unique rows from both files.How do I a unified set of all distinct rows in file1.txt and file2.txt?,,,,,
diff -u,How do I unique rows from both file1.txt and file2.txt combined?,,,,,
diff -i,How do I perform a case insensitive comparision of file1.txt and file2.txt? Print the difference on Command Line.,,,,,
diff -i,Command to case insensitive difference between file1.txt and file2.txt in this folder.Display differences between file1.txt and file2.txt. Take case insensitive differences.,,,,,
diff -q,Check if there is difference between file chk1.txt and chk2.txt or not.,,,,,
